exhid,name,address_line1,address_line2,city_state_zip,country,full_address,website,phone,booth,booth_code,about,product_categories,facebook,linkedin,instagram,twitter,youtube,profile_url,scraped_at
5234,360 Karting & Sodikart & Apex Timing,Industrijska cesta 10Izola06310Sloveniawww.360karting.com,,,Industrijska cesta 10Izola06310Sloveniawww.360karting.com,Industrijska cesta 10Izola06310Sloveniawww.360karting.com,http://www.360karting.com,,South Exhibit Halls S3-S23 — S2229,,,Rides (Dry) > Go-Karts,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=5234,2026-04-28T15:21:56
10606,4escape,21 rue meunierÉgly91520France4escape.io/,,,21 rue meunierÉgly91520France4escape.io/,21 rue meunierÉgly91520France4escape.io/,https://4escape.io/,,South Exhibit Halls S3-S23 — S3742,,,Admission/Financial Equipment > ATM Machines | Admission/Financial Equipment > Bill Validators | Computer Systems/Software > Point of Sale | Computer Systems/Software > Software,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10606,2026-04-28T15:22:00
10641,501 FUN,Unit 4-7West PointAylesfordME20 6XJUnited Kingdom,,,Unit 4-7West PointAylesfordME20 6XJUnited Kingdom,Unit 4-7West PointAylesfordME20 6XJUnited Kingdom,,,South Exhibit Halls S3-S23 — S4543,,,Games & Devices > Arcade & Video | Participatory Play Equipment > Interactive Sports/Zip Lines | Participatory Play Equipment > Miniature Golf,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10641,2026-04-28T15:22:03
10718,7x19 Building Adventure,"Unit 10,  The Creamery, Station Road,ConwyWales LL28 5EFUnited Kingdomwww.7x19.co.uk",,,"Unit 10,  The Creamery, Station Road,ConwyWales LL28 5EFUnited Kingdomwww.7x19.co.uk","Unit 10,  The Creamery, Station Road,ConwyWales LL28 5EFUnited Kingdomwww.7x19.co.uk",http://www.7x19.co.uk,,North Exhibit Halls N19-N23 — N4900,,,Construction > Family Entertainment | Consultants > Architecture and Design | Participatory Play Equipment > Climbing Walls | Participatory Play Equipment > Interactive Sports/Zip Lines,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10718,2026-04-28T15:22:07
4836,A&P Projects,Hertstraat 42 b2590 Berlaar2590Belgiumwww.ap-projects.be,,,Hertstraat 42 b2590 Berlaar2590Belgiumwww.ap-projects.be,Hertstraat 42 b2590 Berlaar2590Belgiumwww.ap-projects.be,https://www.ap-projects.be,,South Exhibit Halls S3-S23 — S4702,,,Construction > Family Entertainment | Consultants > Architecture and Design | Participatory Play Equipment > Climbing Walls | Participatory Play Equipment > Interactive Sports/Zip Lines,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=4836,2026-04-28T15:22:10
464,abc rides switzerland,"Verenastrasse 37, WollerauWollerau8832Switzerland",,,"Verenastrasse 37, WollerauWollerau8832Switzerland","Verenastrasse 37, WollerauWollerau8832Switzerland",,,South Exhibit Halls S3-S23 — S1418,,,"Rides (Dry) > Carousels | Rides (Dry) > Kiddie | Rides (Dry) > Used Equipment | Water Related Equipment & Supplies > Dry Rides (Rafts, Flumes)",,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=464,2026-04-28T15:22:15
636,accesso,"Unit 5, The Pavilions Ruscombe ParkTwyfordReading RG10 9NNUnited Kingdom",,,"Unit 5, The Pavilions Ruscombe ParkTwyfordReading RG10 9NNUnited Kingdom","Unit 5, The Pavilions Ruscombe ParkTwyfordReading RG10 9NNUnited Kingdom",,,South Exhibit Halls S3-S23 — S2123,,,,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=636,2026-04-28T15:22:19
5999,Ace Amusement,"#5 Building, No. 6, HengFeng 6th Road,Gangkou Town, Zhongshan, Guangdong, P. R. ChinaZhongshanGuangdong  528447China Mainlandwww.Ace-Amusement.com",,,"#5 Building, No. 6, HengFeng 6th Road,Gangkou Town, Zhongshan, Guangdong, P. R. ChinaZhongshanGuangdong  528447China Mainlandwww.Ace-Amusement.com","#5 Building, No. 6, HengFeng 6th Road,Gangkou Town, Zhongshan, Guangdong, P. R. ChinaZhongshanGuangdong  528447China Mainlandwww.Ace-Amusement.com",http://www.Ace-Amusement.com,,South Exhibit Halls S3-S23 — S2003,,,Coin-Operated Machines (Non-Game) > Coin-Operated Machines (Non-Game) | Games & Devices > Arcade & Video | Games & Devices > Redemption Prizes | Games & Devices > Water,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=5999,2026-04-28T15:22:23
10490,ACE MANUFACTORY LIMITED,"54-56 HILLWOOD ROAD, LEADER COMMERCIAL BLDG., 7/F, RM 701KOWLOON00852Hong Kongwww.globaltoys.ltd",,,"54-56 HILLWOOD ROAD, LEADER COMMERCIAL BLDG., 7/F, RM 701KOWLOON00852Hong Kongwww.globaltoys.ltd","54-56 HILLWOOD ROAD, LEADER COMMERCIAL BLDG., 7/F, RM 701KOWLOON00852Hong Kongwww.globaltoys.ltd",http://www.globaltoys.ltd,,South Exhibit Halls S3-S23 — S814,,,"Food & Beverages > Vending Machines | Games & Devices > Midway & Skill | Games & Devices > Redemption Prizes | Gifts, Novelties, Souvenirs > Plush",,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10490,2026-04-28T15:22:26
5605,Acro-Jeux,"474, rue Louis DelagePerpignan66000France",,,"474, rue Louis DelagePerpignan66000France","474, rue Louis DelagePerpignan66000France",,,South Exhibit Halls S3-S23 — S4507,,,,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=5605,2026-04-28T15:22:30
10734,ADIPS Ltd.,Unit 16North East BicEnterprise Park EastWearfieldSunderland SR5 2TAUnited Kingdomwww.adips.co.uk,,,Unit 16North East BicEnterprise Park EastWearfieldSunderland SR5 2TAUnited Kingdomwww.adips.co.uk,Unit 16North East BicEnterprise Park EastWearfieldSunderland SR5 2TAUnited Kingdomwww.adips.co.uk,http://www.adips.co.uk,,South Exhibit Halls S3-S23 — TT015,,,Coin-Operated Machines (Non-Game) > Coin-Operated Machines (Non-Game) | Consultants > Ride Testing/Inspection | Consultants > Safety/Medical | Rides (Dry) > Major,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10734,2026-04-28T15:22:33
10126,"Adler Amusement Equipment Co., Ltd.","Room 904, Baolong International Center, No.6 Building, Xiwang Road, Jiading DistrictShanghai201810China Mainland",,,"Room 904, Baolong International Center, No.6 Building, Xiwang Road, Jiading DistrictShanghai201810China Mainland","Room 904, Baolong International Center, No.6 Building, Xiwang Road, Jiading DistrictShanghai201810China Mainland",,,South Exhibit Halls S3-S23 — S1111,,,Construction > Amusement Facilities,,,,,,https://iaapaexpoeurope26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10126,2026-04-28T15:22:36
